GENE_ID	GENE_ID_noversion	logFC.as.vector.pheno.sample.class.Intermediate.Normal	logFC.as.vector.pheno.sample.class.Poor	logCPM	F	pvalue	padj	evalue	rank	Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	Gene % GC content	Source (gene)	HGNC symbol	HGNC ID
ENSG00000275896.5	ENSG00000275896	1.708322041	8.573477323	4.069039408	82.19726729	1.41E-23	7.27E-20	8E-19	11	ENSG00000275896	serine protease 2 [Source:HGNC Symbol;Acc:HGNC:9483]	7	142760398	142774564	1	protein_coding	49.02	ensembl_havana	PRSS2	HGNC:9483
ENSG00000141485.16	ENSG00000141485	-4.003167061	-3.677216818	-0.144982928	79.50464968	4.59E-23	2.17E-19	2.6E-18	12	ENSG00000141485	solute carrier family 13 member 5 [Source:HGNC Symbol;Acc:HGNC:23089]	17	6684713	6713567	-1	protein_coding	51.78	ensembl_havana	SLC13A5	HGNC:23089
ENSG00000224353.2	ENSG00000224353	0.488870754	10.07950751	-0.085558874	77.49452183	1.12E-22	4.9E-19	6.37E-18	13	ENSG00000224353	angiotensin I converting enzyme 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:44365]	17	63507056	63519806	1	transcribed_unprocessed_pseudogene	52.6	havana	ACE3P	HGNC:44365
ENSG00000169862.18	ENSG00000169862	0.180781522	4.526621704	-1.64949788	76.59852013	1.68E-22	6.81E-19	9.54E-18	14	ENSG00000169862	catenin delta 2 [Source:HGNC Symbol;Acc:HGNC:2516]	5	10971836	11904446	-1	protein_coding	39.45	ensembl_havana	CTNND2	HGNC:2516
ENSG00000124302.12	ENSG00000124302	0.7292949	5.138866164	-1.912635078	75.0783454	3.35E-22	1.23E-18	1.9E-17	15.5	ENSG00000124302	carbohydrate sulfotransferase 8 [Source:HGNC Symbol;Acc:HGNC:15993]	19	33621953	33773509	1	protein_coding	50.64	ensembl_havana	CHST8	HGNC:15993
ENSG00000174502.18	ENSG00000174502	-4.776055312	-5.245995544	0.371484627	74.99709819	3.48E-22	1.23E-18	1.97E-17	15.5	ENSG00000174502	solute carrier family 26 member 9 [Source:HGNC Symbol;Acc:HGNC:14469]	1	205913048	205943460	-1	protein_coding	52.02	ensembl_havana	SLC26A9	HGNC:14469
ENSG00000101892.11	ENSG00000101892	0.305466187	6.113146439	-0.540351096	74.7784176	3.84E-22	1.28E-18	2.18E-17	17	ENSG00000101892	ATPase Na+/K+ transporting family member beta 4 [Source:HGNC Symbol;Acc:HGNC:808]	X	120362085	120383249	1	protein_coding	41.9	ensembl_havana	ATP1B4	HGNC:808
ENSG00000185149.5	ENSG00000185149	-0.27782197	7.78665476	-0.706318591	68.62120795	6.86E-21	2.16E-17	3.89E-16	18	ENSG00000185149	neuropeptide Y receptor Y2 [Source:HGNC Symbol;Acc:HGNC:7957]	4	155208636	155217078	1	protein_coding	39.59	ensembl_havana	NPY2R	HGNC:7957
ENSG00000119125.16	ENSG00000119125	-4.468958305	-4.206601347	-1.449379153	68.34286205	7.84E-21	2.34E-17	4.45E-16	19	ENSG00000119125	guanine deaminase [Source:HGNC Symbol;Acc:HGNC:4212]	9	72114595	72257193	1	protein_coding	40.49	ensembl_havana	GDA	HGNC:4212
ENSG00000145242.13	ENSG00000145242	0.518145766	6.671751467	-0.542652796	68.06292895	8.97E-21	2.49E-17	5.09E-16	20.5	ENSG00000145242	EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]	4	65319563	65670495	-1	protein_coding	33.39	ensembl_havana	EPHA5	HGNC:3389
ENSG00000198028.3	ENSG00000198028	0.695169323	4.957734547	-1.12572808	68.00739218	9.21E-21	2.49E-17	5.23E-16	20.5	ENSG00000198028	zinc finger protein 560 [Source:HGNC Symbol;Acc:HGNC:26484]	19	9466507	9498607	-1	protein_coding	42.52	ensembl_havana	ZNF560	HGNC:26484
ENSG00000207993.3	ENSG00000207993	-7.417919781	-5.679959179	-8.722639714	66.22422266	2.18E-20	5.63E-17	1.24E-15	22	ENSG00000207993	microRNA 134 [Source:HGNC Symbol;Acc:HGNC:31519]	14	101054687	101054759	1	miRNA	60.27	mirbase	MIR134	HGNC:31519
ENSG00000152092.15	ENSG00000152092	-3.86713822	-4.825149737	-1.529186504	65.98175391	2.46E-20	6.07E-17	1.4E-15	23	ENSG00000152092	astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]	1	176857302	177164973	-1	protein_coding	41.64	ensembl_havana	ASTN1	HGNC:773
ENSG00000162493.16	ENSG00000162493	-7.080356172	-4.080244345	1.650251641	64.79480476	4.4E-20	1.04E-16	2.5E-15	24	ENSG00000162493	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	1	13583465	13617957	1	protein_coding	45.38	ensembl_havana	PDPN	HGNC:29602
ENSG00000266976.1	ENSG00000266976	0.457378695	5.136487227	0.063390347	64.15835171	6.03E-20	1.37E-16	3.42E-15	25	ENSG00000266976	novel transcript	19	28606688	28615229	1	lincRNA	48.27	havana		
ENSG00000202048.1	ENSG00000202048	-8.377529579	-4.019366351	-7.737672369	60.16583425	4.5E-19	9.83E-16	2.56E-14	26	ENSG00000202048	small nucleolar RNA, C/D box 114-20 [Source:HGNC Symbol;Acc:HGNC:33008]	14	100981004	100981075	1	snoRNA	47.22	ensembl	SNORD114-20	HGNC:33008
ENSG00000232590.1	ENSG00000232590	0.611054291	9.289840819	-2.843570861	58.72845801	9.44E-19	1.98E-15	5.36E-14	27	ENSG00000232590	novel transcript	9	73573615	73579498	1	lincRNA	34.13	havana		
ENSG00000113361.12	ENSG00000113361	1.062585768	5.971805971	2.183788619	57.38967946	1.9E-18	3.84E-15	1.08E-13	28	ENSG00000113361	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	5	31193686	31329146	1	protein_coding	38.31	ensembl_havana	CDH6	HGNC:1765
ENSG00000223403.3	ENSG00000223403	-5.567698798	-3.848043928	-1.208596183	56.98017724	2.35E-18	4.6E-15	1.33E-13	29	ENSG00000223403	maternally expressed 9 [Source:HGNC Symbol;Acc:HGNC:43874]	14	101064151	101072937	1	lincRNA	55.76	havana	MEG9	HGNC:43874
ENSG00000151834.15	ENSG00000151834	0.186879438	5.125263004	0.363066772	56.56444357	2.92E-18	5.53E-15	1.66E-13	30	ENSG00000151834	gamma-aminobutyric acid type A receptor alpha2 subunit [Source:HGNC Symbol;Acc:HGNC:4076]	4	46248427	46475230	-1	protein_coding	35.63	ensembl_havana	GABRA2	HGNC:4076
ENSG00000260863.1	ENSG00000260863	-1.190923562	6.957254577	-6.931472324	55.98895546	3.96E-18	7.25E-15	2.25E-13	31	ENSG00000260863	cytochrome P450 family 2 subfamily C member 60, pseudogene [Source:HGNC Symbol;Acc:HGNC:42410]	10	95009674	95009812	1	unprocessed_pseudogene	44.6	havana	CYP2C60P	HGNC:42410
ENSG00000112541.13	ENSG00000112541	-0.172012307	3.15097681	-0.431108402	54.81590397	7.4E-18	1.31E-14	4.2E-13	32	ENSG00000112541	phosphodiesterase 10A [Source:HGNC Symbol;Acc:HGNC:8772]	6	165327287	165988078	-1	protein_coding	40.96	ensembl_havana	PDE10A	HGNC:8772
ENSG00000101197.12	ENSG00000101197	-0.944668149	5.359135397	-0.737353786	54.67641839	7.97E-18	1.37E-14	4.52E-13	33	ENSG00000101197	baculoviral IAP repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:13702]	20	63235883	63240495	1	protein_coding	64.27	ensembl_havana	BIRC7	HGNC:13702
ENSG00000215065.3	ENSG00000215065	-3.635635519	-3.93860753	0.626519438	54.32196387	9.64E-18	1.61E-14	5.47E-13	34	ENSG00000215065	dual specificity phosphatase 8 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45002]	10	47564256	47566016	1	processed_pseudogene	67.75	havana	DUSP8P4	HGNC:45002
ENSG00000251079.6	ENSG00000251079	-2.154165414	-2.113812447	4.22749928	53.84954775	1.24E-17	1.96E-14	7.05E-13	35.5	ENSG00000251079	BMS1, ribosome biogenesis factor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23650]	10	47538377	47551954	-1	transcribed_unprocessed_pseudogene	39.6	havana	BMS1P2	HGNC:23650
ENSG00000105997.22	ENSG00000105997	6.749652767	5.782963108	4.416182137	53.8724123	1.23E-17	1.96E-14	6.97E-13	35.5	ENSG00000105997	homeobox A3 [Source:HGNC Symbol;Acc:HGNC:5104]	7	27106184	27152581	-1	protein_coding	50.31	ensembl_havana	HOXA3	HGNC:5104
ENSG00000225746.9	ENSG00000225746	-5.803531915	-3.192825379	1.236589334	53.73305918	1.32E-17	2.03E-14	7.51E-13	37	ENSG00000225746	maternally expressed 8, small nucleolar RNA host gene [Source:HGNC Symbol;Acc:HGNC:14574]	14	100894770	101038859	1	lincRNA	40.01	ensembl_havana	MEG8	HGNC:14574
ENSG00000242610.1	ENSG00000242610	-8.785974392	-6.157023243	-2.89101214	53.31499318	1.66E-17	2.47E-14	9.42E-13	39	ENSG00000242610	olfactory receptor family 5 subfamily BH member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15407]	X	131398072	131398957	-1	unprocessed_pseudogene	44.7	havana	OR5BH1P	HGNC:15407
ENSG00000254929.6	ENSG00000254929	-2.089139482	-2.089934959	4.248927522	53.22858278	1.74E-17	2.47E-14	9.87E-13	39	ENSG00000254929	novel transcript	10	47517816	47553514	-1	processed_transcript	41.49	havana		
ENSG00000267056.2	ENSG00000267056	-2.740058364	-3.503856698	0.447395073	53.26268664	1.71E-17	2.47E-14	9.69E-13	39	ENSG00000267056	inositol polyphosphate multikinase (IPMK) pseudogene	19	15910582	15911824	-1	processed_pseudogene	43.04	havana		
ENSG00000253552.7	ENSG00000253552	6.767492485	5.924511967	3.764403526	52.99302981	1.98E-17	2.74E-14	1.12E-12	41	ENSG00000253552	HOXA cluster antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:43745]	7	27107777	27134302	1	antisense	49.71	havana	HOXA-AS2	HGNC:43745
ENSG00000280156.1	ENSG00000280156	0.09831353	2.648885206	1.195308119	52.88965004	2.09E-17	2.82E-14	1.19E-12	42											
ENSG00000148942.14	ENSG00000148942	-0.386787005	5.246887557	-1.726985712	52.73340616	2.28E-17	3E-14	1.29E-12	43	ENSG00000148942	solute carrier family 5 member 12 [Source:HGNC Symbol;Acc:HGNC:28750]	11	26667020	26723427	-1	protein_coding	36.41	ensembl_havana	SLC5A12	HGNC:28750
ENSG00000104432.12	ENSG00000104432	2.040316751	4.33354687	1.204536254	52.26331196	2.94E-17	3.79E-14	1.67E-12	44	ENSG00000104432	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	8	78675743	78805523	-1	protein_coding	35.46	ensembl_havana	IL7	HGNC:6023
ENSG00000226941.8	ENSG00000226941	-0.411196001	10.46679598	-5.991563738	78.98245506	3.61E-17	4.55E-14	2.05E-12	45	ENSG00000226941	RNA binding motif protein, Y-linked, family 1, member J [Source:HGNC Symbol;Acc:HGNC:23917]	Y	22403461	22417881	1	protein_coding	36.85	ensembl_havana	RBMY1J	HGNC:23917
ENSG00000227912.1	ENSG00000227912	-0.486024138	4.434152846	-2.666851163	51.83700567	3.72E-17	4.58E-14	2.11E-12	46	ENSG00000227912	novel transcript (FLJ31539)	10	2166332	2169460	1	lincRNA	41.93	havana		
ENSG00000179954.15	ENSG00000179954	-2.349075547	-1.481604714	1.980000213	51.68608193	4.04E-17	4.87E-14	2.29E-12	47	ENSG00000179954	scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641]	19	55488404	55519099	1	protein_coding	54.52	ensembl_havana	SSC5D	HGNC:26641
ENSG00000219926.10	ENSG00000219926	-0.107012494	2.407362795	-2.278725361	51.20922515	5.25E-17	6.2E-14	2.98E-12	48	ENSG00000219926	olfactory receptor family 7 subfamily E member 104 pseudogene [Source:HGNC Symbol;Acc:HGNC:15343]	13	63828840	63844125	-1	transcribed_unprocessed_pseudogene	48.29	havana	OR7E104P	HGNC:15343
ENSG00000256508.2	ENSG00000256508	-4.055340006	-5.01393832	-1.194038907	51.09494008	5.59E-17	6.47E-14	3.17E-12	49	ENSG00000256508	MRGPRF antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51140]	11	69012283	69018447	1	antisense	58	havana	MRGPRF-AS1	HGNC:51140
ENSG00000254369.6	ENSG00000254369	7.20752884	6.211246936	4.703937411	50.48358489	7.84E-17	8.9E-14	4.45E-12	50	ENSG00000254369	HOXA cluster antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:43748]	7	27129977	27155928	1	antisense	51.21	havana	HOXA-AS3	HGNC:43748
ENSG00000124205.15	ENSG00000124205	-4.721717547	-5.988381765	-1.607722416	50.37538782	8.33E-17	9.27E-14	4.73E-12	51	ENSG00000124205	endothelin 3 [Source:HGNC Symbol;Acc:HGNC:3178]	20	59300443	59325992	1	protein_coding	49.21	ensembl_havana	EDN3	HGNC:3178
ENSG00000188064.9	ENSG00000188064	5.216394369	0.183159303	0.470592131	50.02612603	1.01E-16	1.1E-13	5.74E-12	52	ENSG00000188064	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	22	45920366	45977162	-1	protein_coding	60.21	ensembl_havana	WNT7B	HGNC:12787
ENSG00000252877.1	ENSG00000252877	-2.129316004	-2.127706994	-0.020409403	49.8011858	1.15E-16	1.23E-13	6.51E-12	53	ENSG00000252877	RNA, 5S ribosomal pseudogene 312 [Source:HGNC Symbol;Acc:HGNC:43212]	10	47532352	47532467	1	rRNA_pseudogene	47.41	ensembl	RNA5SP312	HGNC:43212
ENSG00000270025.2	ENSG00000270025	-2.080784089	-2.01041956	3.205064047	49.54492748	1.32E-16	1.39E-13	7.51E-12	54	ENSG00000270025	BMS1, ribosome biogenesis factor pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:23655]	10	48050282	48060016	-1	transcribed_unprocessed_pseudogene	40.35	havana	BMS1P7	HGNC:23655
ENSG00000266217.2	ENSG00000266217	-4.893520917	-6.843904657	1.246424789	48.84408434	1.96E-16	2.02E-13	1.11E-11	55	ENSG00000266217	cathepsin L pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:2540]	10	47581211	47582321	-1	unprocessed_pseudogene	47.52	havana	CTSLP2	HGNC:2540
ENSG00000113327.14	ENSG00000113327	0.419017167	5.589694074	-2.721049804	48.77365569	2.04E-16	2.07E-13	1.16E-11	56	ENSG00000113327	gamma-aminobutyric acid type A receptor gamma2 subunit [Source:HGNC Symbol;Acc:HGNC:4087]	5	162000057	162162977	1	protein_coding	35.18	ensembl_havana	GABRG2	HGNC:4087
ENSG00000207961.3	ENSG00000207961	-7.508962348	-5.549042573	-7.756905334	48.60047189	2.25E-16	2.24E-13	1.28E-11	57	ENSG00000207961	microRNA 496 [Source:HGNC Symbol;Acc:HGNC:32086]	14	101060573	101060674	1	miRNA	42.16	mirbase	MIR496	HGNC:32086
ENSG00000237515.7	ENSG00000237515	0.371033778	2.58401456	-1.377689695	48.51779295	2.36E-16	2.29E-13	1.34E-11	58.5	ENSG00000237515	shisa family member 9 [Source:HGNC Symbol;Acc:HGNC:37231]	16	12901598	13240416	1	protein_coding	43.22	ensembl_havana	SHISA9	HGNC:37231
ENSG00000253576.1	ENSG00000253576	-7.719881245	-6.134440976	-2.334946067	48.50276501	2.38E-16	2.29E-13	1.35E-11	58.5	ENSG00000253576	novel transcript	8	91975908	91977418	1	antisense	33.36	havana		
ENSG00000237849.1	ENSG00000237849	-0.786024707	5.795974326	-1.162352401	48.37799871	2.55E-16	2.34E-13	1.45E-11	61	ENSG00000237849	nuclear transcription factor Y subunit alpha pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:34078]	13	63975451	63976422	-1	processed_pseudogene	43.83	havana	NFYAP1	HGNC:34078
ENSG00000178104.19	ENSG00000178104	1.518318861	1.842081509	5.104729853	48.37253144	2.56E-16	2.34E-13	1.45E-11	61	ENSG00000178104	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]	1	148808181	149048286	1	protein_coding	41	ensembl_havana	PDE4DIP	HGNC:15580
ENSG00000201899.1	ENSG00000201899	-7.410193878	-5.372069025	-7.976419362	48.37357892	2.56E-16	2.34E-13	1.45E-11	61	ENSG00000201899	small nucleolar RNA, C/D box 114-24 [Source:HGNC Symbol;Acc:HGNC:33012]	14	100984777	100984848	1	snoRNA	44.44	ensembl	SNORD114-24	HGNC:33012
ENSG00000115221.10	ENSG00000115221	-2.328874311	-2.777577984	-0.937234517	47.86380566	3.42E-16	3.08E-13	1.94E-11	63	ENSG00000115221	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	2	160099667	160200313	-1	protein_coding	39.26	ensembl_havana	ITGB6	HGNC:6161
ENSG00000169855.19	ENSG00000169855	-5.833626906	-3.163622974	3.123812144	47.19824714	5E-16	4.43E-13	2.83E-11	64	ENSG00000169855	roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]	3	78597239	79767998	-1	protein_coding	35.1	ensembl_havana	ROBO1	HGNC:10249
ENSG00000279184.1	ENSG00000279184	0.567877957	2.777316697	1.912104852	46.63914869	6.88E-16	6.01E-13	3.91E-11	65											
ENSG00000252149.1	ENSG00000252149	-2.160114451	-2.092631978	-0.024564237	46.39670755	7.91E-16	6.8E-13	4.49E-11	66	ENSG00000252149	RNA, 5S ribosomal pseudogene 315 [Source:HGNC Symbol;Acc:HGNC:43215]	10	48040462	48040577	1	rRNA_pseudogene	47.41	ensembl	RNA5SP315	HGNC:43215
ENSG00000198963.10	ENSG00000198963	2.545843199	7.275636792	2.732506834	46.27213237	8.5E-16	7.2E-13	4.82E-11	67	ENSG00000198963	RAR related orphan receptor B [Source:HGNC Symbol;Acc:HGNC:10259]	9	74497335	74693177	1	protein_coding	37.74	ensembl_havana	RORB	HGNC:10259
ENSG00000179218.13	ENSG00000179218	-1.378657089	-1.624590428	9.922099857	46.04787694	9.68E-16	8.08E-13	5.49E-11	68	ENSG00000179218	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	19	12938578	12944489	1	protein_coding	53.01	ensembl_havana	CALR	HGNC:1455
ENSG00000166415.14	ENSG00000166415	0.977033585	4.344971121	-1.294789628	45.87483656	1.07E-15	8.8E-13	6.07E-11	69	ENSG00000166415	WD repeat domain 72 [Source:HGNC Symbol;Acc:HGNC:26790]	15	53513741	53762878	-1	protein_coding	36.62	ensembl_havana	WDR72	HGNC:26790
ENSG00000120068.6	ENSG00000120068	6.397525107	0.937785493	1.728310072	45.7618935	1.14E-15	9.26E-13	6.48E-11	70	ENSG00000120068	homeobox B8 [Source:HGNC Symbol;Acc:HGNC:5119]	17	48611377	48614939	-1	protein_coding	58.41	ensembl_havana	HOXB8	HGNC:5119
ENSG00000204172.12	ENSG00000204172	-1.923591331	-2.022726045	5.222636521	45.52383955	1.31E-15	1.04E-12	7.44E-11	71.5	ENSG00000204172	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9 [Source:HGNC Symbol;Acc:HGNC:23463]	10	47501854	47523638	-1	protein_coding	40.48	ensembl_havana	AGAP9	HGNC:23463
ENSG00000242875.6	ENSG00000242875	4.263181771	11.41307829	-5.450504383	48.82869236	1.32E-15	1.04E-12	7.48E-11	71.5	ENSG00000242875	RNA binding motif protein, Y-linked, family 1, member B [Source:HGNC Symbol;Acc:HGNC:23914]	Y	21511338	21549094	1	protein_coding	39.86	ensembl_havana	RBMY1B	HGNC:23914
ENSG00000092850.11	ENSG00000092850	-2.573353872	-2.556356124	0.833462339	45.02506737	1.75E-15	1.36E-12	9.95E-11	73	ENSG00000092850	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	1	36084094	36088275	1	protein_coding	58.32	ensembl_havana	TEKT2	HGNC:11725
ENSG00000196109.6	ENSG00000196109	-0.160783254	2.341887146	-1.063337243	44.99629751	1.78E-15	1.37E-12	1.01E-10	74	ENSG00000196109	zinc finger protein 676 [Source:HGNC Symbol;Acc:HGNC:20429]	19	22179091	22215801	-1	protein_coding	38.49	ensembl_havana	ZNF676	HGNC:20429
ENSG00000199020.3	ENSG00000199020	-5.947769071	-7.439643785	-8.579464259	44.71291912	2.1E-15	1.59E-12	1.19E-10	75	ENSG00000199020	microRNA 381 [Source:HGNC Symbol;Acc:HGNC:31874]	14	101045920	101045994	1	miRNA	40	mirbase	MIR381	HGNC:31874
ENSG00000170689.9	ENSG00000170689	8.264660042	1.828745068	2.260253503	44.68594032	2.14E-15	1.6E-12	1.21E-10	76	ENSG00000170689	homeobox B9 [Source:HGNC Symbol;Acc:HGNC:5120]	17	48621156	48626358	-1	protein_coding	55.85	ensembl_havana	HOXB9	HGNC:5120
ENSG00000265366.6	ENSG00000265366	-2.904954174	-3.430521607	0.682344884	44.38361049	2.55E-15	1.88E-12	1.45E-10	77	ENSG00000265366	glutamate dehydrogenase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4337]	10	46759019	46786770	-1	transcribed_unprocessed_pseudogene	44.56	havana	GLUD1P2	HGNC:4337
ENSG00000139117.13	ENSG00000139117	4.964628956	4.966468326	4.835412978	43.92272917	3.35E-15	2.43E-12	1.9E-10	78	ENSG00000139117	copine 8 [Source:HGNC Symbol;Acc:HGNC:23498]	12	38646822	38907430	-1	protein_coding	36.06	ensembl_havana	CPNE8	HGNC:23498
ENSG00000253293.4	ENSG00000253293	5.529867162	4.632579517	4.932869544	43.74032863	3.73E-15	2.68E-12	2.11E-10	79	ENSG00000253293	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	7	27170592	27180261	-1	protein_coding	53.6	ensembl_havana	HOXA10	HGNC:5100
ENSG00000265190.6	ENSG00000265190	-4.830039329	-5.054024191	2.685636867	43.62847033	3.98E-15	2.79E-12	2.26E-10	80.5	ENSG00000265190	annexin A8 [Source:HGNC Symbol;Acc:HGNC:546]	10	47460162	47484158	-1	protein_coding	52.97	ensembl_havana	ANXA8	HGNC:546
ENSG00000129596.4	ENSG00000129596	0.581881348	5.011184828	-0.355299652	43.62858281	3.98E-15	2.79E-12	2.26E-10	80.5	ENSG00000129596	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	5	115804733	115816659	-1	protein_coding	39.78	ensembl_havana	CDO1	HGNC:1795
ENSG00000145050.15	ENSG00000145050	-1.086927564	-1.337120125	4.895623728	43.3228253	4.77E-15	3.29E-12	2.71E-10	82.5	ENSG00000145050	mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]	3	51385047	51389397	1	protein_coding	52.06	ensembl_havana	MANF	HGNC:15461
ENSG00000199109.4	ENSG00000199109	-7.502931424	-5.022438819	-7.495804322	43.30688853	4.82E-15	3.29E-12	2.73E-10	82.5	ENSG00000199109	microRNA 411 [Source:HGNC Symbol;Acc:HGNC:32792]	14	101023325	101023420	1	miRNA	46.88	mirbase	MIR411	HGNC:32792
ENSG00000150275.17	ENSG00000150275	-4.248301402	-4.000980298	-0.802596906	43.24485552	5E-15	3.33E-12	2.83E-10	84.5	ENSG00000150275	protocadherin related 15 [Source:HGNC Symbol;Acc:HGNC:14674]	10	53802771	55627942	-1	protein_coding	34.63	ensembl_havana	PCDH15	HGNC:14674
ENSG00000231495.1	ENSG00000231495	-5.109221347	-0.451040287	-9.878313348	43.26460765	4.94E-15	3.33E-12	2.8E-10	84.5	ENSG00000231495	novel transcript	22	27707580	27709931	1	lincRNA	47.83	havana		
ENSG00000135750.14	ENSG00000135750	2.810865457	6.353296579	0.189009395	43.21401317	5.09E-15	3.36E-12	2.89E-10	86	ENSG00000135750	potassium two pore domain channel subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:6272]	1	233614004	233672512	1	protein_coding	42.16	ensembl_havana	KCNK1	HGNC:6272
ENSG00000136944.17	ENSG00000136944	4.350983464	-0.187121081	0.203900605	42.96564532	5.9E-15	3.85E-12	3.35E-10	87	ENSG00000136944	LIM homeobox transcription factor 1 beta [Source:HGNC Symbol;Acc:HGNC:6654]	9	126614443	126701032	1	protein_coding	56.12	ensembl_havana	LMX1B	HGNC:6654
